UID          PID    PPID  C STIME TTY          TIME CMD
root        1107    1089  0 02:06 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
root        2071       2  0 02:16 ?        00:00:00 [kworker/2:0-events]
root        2373       2  0 03:10 ?        00:00:00 [kworker/0:0]
root        3045       2  4 03:57 ?        00:02:52 [kworker/u8:2-flush-8:0]
root        3164       2  0 04:09 ?        00:00:00 [kworker/1:0-cgroup_destroy]
root        3241       2  4 04:17 ?        00:01:44 [kworker/u8:3-events_unbound]
root        3307       2  0 04:29 ?        00:00:01 [kworker/0:2-mm_percpu_wq]
root        3412       2  0 04:38 ?        00:00:00 [kworker/2:2-events]
root        3459       2  2 04:39 ?        00:00:19 [kworker/u8:1-flush-8:0]
root        3905       2  0 04:45 ?        00:00:00 [kworker/3:0-ata_sff]
root        4004       2  4 04:48 ?        00:00:18 [kworker/u8:0-events_unbound]
root        4008       2  0 04:51 ?        00:00:00 [kworker/3:1-ata_sff]
root        4021       2  0 04:52 ?        00:00:00 [kworker/u8:4]
